SEGUNDA PASADA - ANALISIS PROFUNDO DE MIGRACION DE ESQUEMA
Proyecto: IngresoUniversitarioTPI135
Fecha: 2026-05-15
Estado: solo analisis, sin cambios de codigo

ENTRADA Y SUPOSICIONES
- Esquema viejo: src/test/resources/ingresoTPI135_init.sql
- Esquema nuevo: provisto por el usuario (no esta en repo)
- El backend actual esta acoplado al esquema viejo (tablas y nombres plurales)
- Esta pasada asume que el esquema nuevo es el objetivo final y se migra todo el backend

RESUMEN EJECUTIVO
- El cambio no es solo renombre: elimina usuarios_sistema, normaliza preguntas/respuestas,
  separa aulas y disponibilidad por turno, y cambia la identidad de examenes a inscripcion.
- El impacto es transversal: entidades JPA, DAOs, JPQL, REST endpoints, tests BDD/IT/ST y seeds.
- Hay fallos de compilacion asegurados si se eliminan las entidades obsoletas sin refactor global.
- Aun manteniendo clases, se rompe runtime por FKs, NOT NULL y UNIQUE nuevos.
- Requiere fase previa de datos/semillas para evitar falsos negativos en tests.

- src/main/java/sv/edu/ues/occ/ingenieria/tpi135/ingreso/web/ingresouniversitariotpi135/Control/AreasConocimientoDAO.java | Problema: renombre de tabla y UNIQUE nombre_area | Severidad: Media | Accion: ajustar entity.
- src/test/resources/bdd/aspirante/admision/aspirante.asignar-carrera-final.feature | Problema: carreras_elegidas/cupos_carrera | Severidad: Alta | Accion: migrar.
- src/test/resources/bdd/aspirante/admision/aspirante.asignar-carrera-final-sin-cupos.feature | Problema: carreras_elegidas/cupos_carrera | Severidad: Alta | Accion: migrar.
- src/test/resources/bdd/aspirante/examen/configurar-prueba-admision.feature | Problema: banco_preguntas/opciones_respuesta | Severidad: Critica | Accion: migrar a tema/banco_respuesta/pregunta_opcion.
- src/test/resources/bdd/aspirante/examen/aspirante.resolver-examen-puntaje.feature | Problema: examen_realizado/respuestas_examen viejos | Severidad: Critica | Accion: migrar modelo.
- src/test/resources/bdd/aspirante/consultaintegral/aspirante.consulta-ejecutiva-integral.feature | Problema: usuarios_sistema/aulas_examen/pupitre | Severidad: Alta | Accion: migrar endpoints.
- src/test/resources/bdd/aspirante/expediente/aspirante.expediente-completo.feature | Problema: endpoints viejos | Severidad: Alta | Accion: migrar endpoints.

NOTAS FINALES
- Este analisis asume migracion completa a esquema nuevo.
- Si se requiere compatibilidad con API vieja, se recomienda capa de adaptacion (DTO + mapper + resources legacy).
